Ward ID,Ward/Office,Council Member,Journal Date,Vendor,Expense Type,Description,Account,Amount
14,Elmwood - East Kildonan,Thomas Steen,03/05/2014,City of Winnipeg - Journal Entry,,Burdens Redistribution - S-09-14,Non-Professional Services,54.93
15,North Kildonan,Jeff Browaty,03/05/2014,City of Winnipeg - Journal Entry,,Burdens Redistribution - S-09-14,Non-Professional Services,105.56
0,Mayor's Office,Sam Katz,03/05/2014,City of Winnipeg - Payroll,Mayor's Expenses,Salary & Benefits,Payroll,27718.25
1,Old Kildonan,Devi Sharma,03/05/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,1313.59
2,Mynarski,Ross Eadie,03/05/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,1811.47
3,Point Douglas,Mike Pagtakhan,03/05/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,1928.95
4,Daniel McIntyre,Harvey Smith,03/05/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,2268.37
5,St. James - Brooklands,Scott Fielding,03/05/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,2019.21
6,St. Charles,Grant Nordman,03/05/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,2388.11
7,Charleswood - Tuxedo,Paula Havixbeck,03/05/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,1456.44
8,River Heights - Fort Garry,John Orlikow,03/05/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,2246.75
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,03/05/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,2000.95
10,St. Norbert,Justin Swandel,03/05/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,1888.72
11,St. Vital,Brian Mayes,03/05/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,1981.55
12,St. Boniface,Daniel Vandal,03/05/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,1283.10
13,Transcona,Russ Wyatt,03/05/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,1604.48
14,Elmwood - East Kildonan,Thomas Steen,03/05/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,2706.91
15,North Kildonan,Jeff Browaty,03/05/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,1480.00
11,St. Vital,Brian Mayes,06/05/2014,Brian Mayes,,Residential Parking Discussion,Business Meetings,23.36
1,Old Kildonan,Devi Sharma,06/05/2014,Canstar Community News Limited,,The Times,Advertising,399.00
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,06/05/2014,City of Winnipeg - Journal Entry,,Compost Bins - Spring Clean Up Event - Councillor Gerbasi,Ward Activities,60.00
1,Old Kildonan,Devi Sharma,06/05/2014,Fernoc Group Ltd,,Rental Of Office Space,Rentals,1278.25
12,St. Boniface,Daniel Vandal,06/05/2014,Le Centre Recreatif Notre Dame,,Sign Advertising,Advertising,400.00
6,St. Charles,Grant Nordman,06/05/2014,Logberg Heimskringla Inc,,Ad Issue 8,Advertising,136.00
1,Old Kildonan,Devi Sharma,06/05/2014,Manitoba Hydro,,Utilities,"Heat-Gas,Oil,Steam & Electric",223.40
5,St. James - Brooklands,Scott Fielding,06/05/2014,Quality Vending & Coffee Services Ltd,,Acc Discussion,Business Meetings,33.84
0,Mayor's Office,Sam Katz,06/05/2014,St Vital Historical Society Inc,Mayor's Expenses,Ad In The St Vital Historian,Protocol,100.00
7,Charleswood - Tuxedo,Paula Havixbeck,06/05/2014,Unicef Canada,,Mothers Day Luncheon,"Luncheons, Receptions & Events",150.00
7,Charleswood - Tuxedo,Paula Havixbeck,06/05/2014,Winnipeg Jewish Review,,Israels 66th Birthday,Advertising,200.00
3,Point Douglas,Mike Pagtakhan,06/05/2014,Winnipeg School Division No 1,,Career Fair,Ward Activities,112.68
10,St. Norbert,Justin Swandel,06/05/2014,Write It Right,,Farmers Market Community Guide,Advertising,275.00
0,Mayor's Office,Sam Katz,07/05/2014,City of Winnipeg - Journal Entry,Mayor's Expenses,Postage - Regular Parcel Mail,Postage,4.69
4,Daniel McIntyre,Harvey Smith,07/05/2014,City of Winnipeg - Journal Entry,,Kiosk 114038 - Metro Curling League Annual Banquet And Dance - Councillor Smith,Contrib-Donations,75.18
12,St. Boniface,Daniel Vandal,07/05/2014,City of Winnipeg - Journal Entry,,Kiosk 114039 - Metro Curling League Annual Banquet And Dance - Councillor Vandal,Contrib-Donations,28.52
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,07/05/2014,City of Winnipeg - Journal Entry,,Kiosk 114040 - Metro Curling League Annual Banquet And Dance - Councillor Gerbasi,Contrib-Donations,68.40
11,St. Vital,Brian Mayes,07/05/2014,City of Winnipeg - Journal Entry,,Kiosk 114041 - St. Vital Agricultural Society Fundraiser - Councillor Mayes,Contrib-Donations,68.34
12,St. Boniface,Daniel Vandal,07/05/2014,City of Winnipeg - Journal Entry,,Kiosk 114042 - Frontenac School 18th Annual Family Bbq - Councillor Vandal,Contrib-Donations,23.31
11,St. Vital,Brian Mayes,07/05/2014,City of Winnipeg - Journal Entry,,Kiosk 114045 - Ecole Marie-Anne-Gaboury 5th Annual Walkathon - Councillor Mayes,Contrib-Donations,76.30
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,07/05/2014,City of Winnipeg - Journal Entry,,Kiosk 114049 - Annual Wolseley Family Place Golden Apron Gala - Councillor Gerbasi,Contrib-Donations,69.16
3,Point Douglas,Mike Pagtakhan,07/05/2014,Start Smart Publishing,,Careers For Kids,Business Meetings,237.60
12,St. Boniface,Daniel Vandal,07/05/2014,The Royal Canadian Legion,,Wreath For Decoration Day,Contrib-Donations,55.00
3,Point Douglas,Mike Pagtakhan,08/05/2014,City of Winnipeg - Journal Entry,,Sundry Deposit.,Advertising,-11.00
4,Daniel McIntyre,Harvey Smith,08/05/2014,Klinic Community Health Centre,,Nunavut Flag,Contrib-Donations,44.75
2,Mynarski,Ross Eadie,08/05/2014,Manitoba Indigenous Cultural Education,,Hockey Tourney Program,Advertising,150.00
12,St. Boniface,Daniel Vandal,08/05/2014,Mts Inc,,Internet,Internet Access,60.48
15,North Kildonan,Jeff Browaty,08/05/2014,Red River Basin Commission,,6th Annual Fish Dinner,"Luncheons, Receptions & Events",100.00
15,North Kildonan,Jeff Browaty,08/05/2014,Red River Basin Commission,,Land & Water Cummit Conference,Conferences,225.00
4,Daniel McIntyre,Harvey Smith,08/05/2014,Rogers Wireless Inc,,Wireless,Telephone-Cellular,134.68
3,Point Douglas,Mike Pagtakhan,09/05/2014,Benchmark Advertising Ltd,,Current Month,Advertising,270.00
5,St. James - Brooklands,Scott Fielding,09/05/2014,Benchmark Advertising Ltd,,Current Month,Advertising,270.00
10,St. Norbert,Justin Swandel,09/05/2014,Benchmark Advertising Ltd,,Current Month,Advertising,270.00
12,St. Boniface,Daniel Vandal,09/05/2014,Benchmark Advertising Ltd,,Current Month,Advertising,910.00
6,St. Charles,Grant Nordman,09/05/2014,Benchmark Advertising Ltd,,Rental-Benches,Advertising,2005.30
0,Mayor's Office,Sam Katz,09/05/2014,City of Winnipeg - Journal Entry,Mayor's Expenses,Internal Printing Charges And Inter-Departmental Recoveries,Promotional,131.71
0,Mayor's Office,Sam Katz,09/05/2014,City of Winnipeg - Journal Entry,Mayor's Expenses,Internal Printing Charges And Inter-Departmental Recoveries,Protocol,19.60
7,Charleswood - Tuxedo,Paula Havixbeck,09/05/2014,City of Winnipeg - Journal Entry,,"Cn#1362   - Interdepartmental Payment For Invoice #1356 - Councillor Paula Havixbeck For Arena Advertising January 31 - October 31, 201",Advertising,263.79
2,Mynarski,Ross Eadie,09/05/2014,City of Winnipeg - Journal Entry,,Internal Printing Charges And Inter-Departmental Recoveries,"Printing,Binding,Photocopying",9.66
3,Point Douglas,Mike Pagtakhan,09/05/2014,City of Winnipeg - Journal Entry,,Internal Printing Charges And Inter-Departmental Recoveries,"Printing,Binding,Photocopying",9.90
4,Daniel McIntyre,Harvey Smith,09/05/2014,City of Winnipeg - Journal Entry,,Internal Printing Charges And Inter-Departmental Recoveries,"Printing,Binding,Photocopying",53.20
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,09/05/2014,City of Winnipeg - Journal Entry,,Internal Printing Charges And Inter-Departmental Recoveries,"Printing,Binding,Photocopying",15.38
3,Point Douglas,Mike Pagtakhan,09/05/2014,Ecclesia Publishing Corp,,Visnyk,Advertising,375.00
3,Point Douglas,Mike Pagtakhan,09/05/2014,Filipino Journal,,Display Advertisement,Advertising,350.00
11,St. Vital,Brian Mayes,09/05/2014,Francofonds Inc,,Chefs En Plain Air,"Luncheons, Receptions & Events",125.00
15,North Kildonan,Jeff Browaty,09/05/2014,Jeff Browaty,,American Planning Conference,Travel-City Business,914.15
15,North Kildonan,Jeff Browaty,09/05/2014,Jeff Browaty,,Email Service,Periodicals and Subscriptions,33.95
15,North Kildonan,Jeff Browaty,09/05/2014,Jeff Browaty,,Herald Easter Ad,Advertising,202.80
15,North Kildonan,Jeff Browaty,09/05/2014,Jeff Browaty,,Home Internet,Internet Access,108.00
15,North Kildonan,Jeff Browaty,09/05/2014,Jeff Browaty,,Office Cable,Television Cable,53.95
15,North Kildonan,Jeff Browaty,09/05/2014,Jeff Browaty,,Polish Event Discussion,Business Meetings,38.50
15,North Kildonan,Jeff Browaty,09/05/2014,Jeff Browaty,,Reasearch Project Planning,Business Meetings,23.07
15,North Kildonan,Jeff Browaty,09/05/2014,Jeff Browaty,,Speakers Night,"Luncheons, Receptions & Events",100.00
15,North Kildonan,Jeff Browaty,09/05/2014,Jeff Browaty,,Special Olympics Manitoba,"Luncheons, Receptions & Events",199.80
3,Point Douglas,Mike Pagtakhan,09/05/2014,Pilipino Express News Magazine,,Business Card Sized,Advertising,44.00
10,St. Norbert,Justin Swandel,09/05/2014,Winnipeg Outdoor Marketing Group Inc,,Recycle Bin,Advertising,195.00
10,St. Norbert,Justin Swandel,09/05/2014,Winnipeg Police Assoc. Charitable Trust,,Charity Ball,"Luncheons, Receptions & Events",640.00
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,12/05/2014,Quantum Graphics And Consulting,,#NAME?,"Printing,Binding,Photocopying",918.00
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,13/05/2014,City of Winnipeg - Journal Entry,,Postage - Regular Parcel Mail,Postage,9.68
2,Mynarski,Ross Eadie,13/05/2014,North Point Douglas Women'S Centre Inc,,Bus Ticket Loan Program,Contrib-Donations,2400.00
13,Transcona,Russ Wyatt,13/05/2014,St Joseph The Worker School,,Quiz Night Fundraising,"Luncheons, Receptions & Events",60.00
3,Point Douglas,Mike Pagtakhan,14/05/2014,Casa Dos Acores Azorean Cultural,,Annual Codfish Dinner,Contrib-Donations,82.98
3,Point Douglas,Mike Pagtakhan,14/05/2014,Casa Dos Acores Azorean Cultural,,Feast Of The Holy Spirit,Advertising,500.00
12,St. Boniface,Daniel Vandal,14/05/2014,Daniel Vandal,,Iphone Cover,Telephone,16.16
12,St. Boniface,Daniel Vandal,14/05/2014,Daniel Vandal,,Saint Boniface Development,Business Meetings,21.24
2,Mynarski,Ross Eadie,14/05/2014,Manitoba Blue Cross,,Jun-14,Non-Professional Services,107.01
1,Old Kildonan,Devi Sharma,14/05/2014,Manitoba Blue Cross,,Jun-14,Non-Professional Services,260.17
3,Point Douglas,Mike Pagtakhan,14/05/2014,Manitoba Blue Cross,,Jun-14,Non-Professional Services,266.00
4,Daniel McIntyre,Harvey Smith,14/05/2014,Manitoba Blue Cross,,Jun-14,Non-Professional Services,260.17
5,St. James - Brooklands,Scott Fielding,14/05/2014,Manitoba Blue Cross,,Jun-14,Non-Professional Services,266.00
6,St. Charles,Grant Nordman,14/05/2014,Manitoba Blue Cross,,Jun-14,Non-Professional Services,108.16
8,River Heights - Fort Garry,John Orlikow,14/05/2014,Manitoba Blue Cross,,Jun-14,Non-Professional Services,266.59
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,14/05/2014,Manitoba Blue Cross,,Jun-14,Non-Professional Services,264.25
11,St. Vital,Brian Mayes,14/05/2014,Manitoba Blue Cross,,Jun-14,Non-Professional Services,107.01
12,St. Boniface,Daniel Vandal,14/05/2014,Manitoba Blue Cross,,Jun-14,Non-Professional Services,259.59
15,North Kildonan,Jeff Browaty,14/05/2014,Manitoba Blue Cross,,Jun-14,Non-Professional Services,264.54
2,Mynarski,Ross Eadie,14/05/2014,R B Russell Vocational High School,,Mynarski Citizenship Award,Contrib-Donations,500.00
2,Mynarski,Ross Eadie,14/05/2014,Ross Eadie,,Cjob Radio Interview,Unicity Taxi,27.91
2,Mynarski,Ross Eadie,14/05/2014,Ross Eadie,,Selkirk Biz Meeting,Unicity Taxi,14.29
2,Mynarski,Ross Eadie,14/05/2014,Ross Eadie,,Siloam Mission Fundraiser,Parking Meter/Voucher,5.71
2,Mynarski,Ross Eadie,14/05/2014,Ross Eadie,,Winnipeg Childrens Festival,Unicity Taxi,9.48
2,Mynarski,Ross Eadie,14/05/2014,Strathcona Community School,,Mynarski Awards,Contrib-Donations,100.00
3,Point Douglas,Mike Pagtakhan,15/05/2014,4imprint,,Value Non Woven Tote,Advertising,637.45
5,St. James - Brooklands,Scott Fielding,15/05/2014,The Assiniboia Chamber Of Commerce,,Agm Dinner,"Luncheons, Receptions & Events",61.90
10,St. Norbert,Justin Swandel,15/05/2014,Variety The Children'S Charity,,Grande Ole Gold Heart Gala,"Luncheons, Receptions & Events",800.00
3,Point Douglas,Mike Pagtakhan,15/05/2014,Web Wizards Inc,,Website Changes,Website/Domain Licenses,985.00
3,Point Douglas,Mike Pagtakhan,15/05/2014,Winnipeg Arts Council,,Mayors Luncheon For The Arts,"Luncheons, Receptions & Events",500.00
6,St. Charles,Grant Nordman,15/05/2014,Winnipeg Arts Council,,Mayors Luncheon For The Arts,"Luncheons, Receptions & Events",50.00
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,15/05/2014,Winnipeg Arts Council,,Mayors Luncheon For The Arts,"Luncheons, Receptions & Events",50.00
2,Mynarski,Ross Eadie,15/05/2014,Write It Right,,Sinclair Park Community Centre,Advertising,200.00
3,Point Douglas,Mike Pagtakhan,15/05/2014,Write It Right,,Sinclair Park Community Centre,Advertising,175.00
11,St. Vital,Brian Mayes,16/05/2014,Jocelyn Hutton Foundation Inc,,Band Together Concert,Advertising,250.00
3,Point Douglas,Mike Pagtakhan,16/05/2014,Trident Press Ltd,,Blessed Easter Greetings,Advertising,100.00
5,St. James - Brooklands,Scott Fielding,17/05/2014,City of Winnipeg - Journal Entry,,Burdens Redistribution - S-10-14,Non-Professional Services,-54.93
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,17/05/2014,City of Winnipeg - Journal Entry,,Burdens Redistribution - S-10-14,Non-Professional Services,-105.55
14,Elmwood - East Kildonan,Thomas Steen,17/05/2014,City of Winnipeg - Journal Entry,,Burdens Redistribution - S-10-14,Non-Professional Services,54.93
15,North Kildonan,Jeff Browaty,17/05/2014,City of Winnipeg - Journal Entry,,Burdens Redistribution - S-10-14,Non-Professional Services,105.55
0,Mayor's Office,Sam Katz,17/05/2014,City of Winnipeg - Payroll,Mayor's Expenses,Salary & Benefits,Payroll,27381.69
1,Old Kildonan,Devi Sharma,17/05/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,1313.58
2,Mynarski,Ross Eadie,17/05/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,1812.31
3,Point Douglas,Mike Pagtakhan,17/05/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,1929.79
4,Daniel McIntyre,Harvey Smith,17/05/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,2269.21
5,St. James - Brooklands,Scott Fielding,17/05/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,2019.21
6,St. Charles,Grant Nordman,17/05/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,2388.12
7,Charleswood - Tuxedo,Paula Havixbeck,17/05/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,1650.11
8,River Heights - Fort Garry,John Orlikow,17/05/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,2247.61
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,17/05/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,2001.76
10,St. Norbert,Justin Swandel,17/05/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,1888.74
11,St. Vital,Brian Mayes,17/05/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,1982.37
12,St. Boniface,Daniel Vandal,17/05/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,1283.09
13,Transcona,Russ Wyatt,17/05/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,1604.49
14,Elmwood - East Kildonan,Thomas Steen,17/05/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,2707.77
15,North Kildonan,Jeff Browaty,17/05/2014,Councillor's Executive Assistant,,Executive Assistant Salary & Benefits,Non-Professional Services,1480.00
13,Transcona,Russ Wyatt,20/05/2014,Bond Printing Ltd,,Transcona Views,Advertising,442.00
13,Transcona,Russ Wyatt,20/05/2014,Christopher Belanger,,City Hall Parking,Parking Space Rental,5.71
13,Transcona,Russ Wyatt,20/05/2014,Christopher Belanger,,Condoloence Card,Stationery and Office Supplies,2.91
13,Transcona,Russ Wyatt,20/05/2014,Christopher Belanger,,Gift Bag/Tissue,Stationery and Office Supplies,4.86
8,River Heights - Fort Garry,John Orlikow,20/05/2014,City Press Ltd,,Envelopes,Stationery and Office Supplies,34.56
13,Transcona,Russ Wyatt,20/05/2014,Cosmopolitan Florists Ltd,,Condolences Flowers,Ward Activities,86.40
6,St. Charles,Grant Nordman,20/05/2014,David Wagner Associates Inc,,"Consultation,Design,Presentati",Professional Services,3843.33
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,20/05/2014,Federation Of Canadian Municipalities,,Fcm Annual Conference,Travel-City Business,115.00
0,Mayor's Office,Sam Katz,20/05/2014,High Tea Bakery,Mayor's Expenses,Custom Cake,Protocol,230.00
1,Old Kildonan,Devi Sharma,20/05/2014,Loretta Smith,,Cleaning Community Office,Non-Professional Services,55.00
7,Charleswood - Tuxedo,Paula Havixbeck,20/05/2014,Pegasus Publications Inc,,Lifestyles 55 Magazine,Advertising,250.00
7,Charleswood - Tuxedo,Paula Havixbeck,20/05/2014,Pegasus Publications Inc,,Smart Tab,Advertising,300.00
4,Daniel McIntyre,Harvey Smith,20/05/2014,Shaw Cable,,Shaw Cable,Television Cable,80.95
5,St. James - Brooklands,Scott Fielding,20/05/2014,Shaw Cable,,Shaw Cable,Television Cable,63.67
8,River Heights - Fort Garry,John Orlikow,20/05/2014,Suckerpunch,,Graphic Design,Website/Domain Licenses,280.00
3,Point Douglas,Mike Pagtakhan,20/05/2014,World Chinese Business Post,,1/4 Page Black001,Advertising,60.00
1,Old Kildonan,Devi Sharma,21/05/2014,Devi Sharma,,Associaton Ilocanos Manitoba,"Luncheons, Receptions & Events",30.00
1,Old Kildonan,Devi Sharma,21/05/2014,Devi Sharma,,Community Meeting,Postage,19.80
1,Old Kildonan,Devi Sharma,21/05/2014,Devi Sharma,,Cream For Community Office,Other Operating Supplies,4.25
1,Old Kildonan,Devi Sharma,21/05/2014,Devi Sharma,,Refreshments Community Office,Other Operating Supplies,21.64
1,Old Kildonan,Devi Sharma,21/05/2014,Devi Sharma,,Scanning And Printing,"Printing,Binding,Photocopying",7.45
1,Old Kildonan,Devi Sharma,21/05/2014,Devi Sharma,,Sidewalk Salt Community Office,Other Operating Supplies,3.20
12,St. Boniface,Daniel Vandal,21/05/2014,Sous Le Baobab Inc,,Carte D'Affaire Celebration,"Luncheons, Receptions & Events",50.00
0,Mayor's Office,Sam Katz,22/05/2014,Canadian Cystic Fibrosis Foundation,Mayor's Expenses,Great Strides Walk 2004,Civic Initiatives,360.00
3,Point Douglas,Mike Pagtakhan,23/05/2014,Bookmates Inc,,Support Family Literacy,"Luncheons, Receptions & Events",60.00
11,St. Vital,Brian Mayes,23/05/2014,Christa Ragoonath,,Riel Ave Parking Discussion,Ward Activities,23.36
3,Point Douglas,Mike Pagtakhan,23/05/2014,City of Winnipeg - Journal Entry,,Correction Of Charge From Councillor Pagtakhan Cra To Lswk Community Committee,Advertising,-500.00
3,Point Douglas,Mike Pagtakhan,23/05/2014,Guimbanian Association Of Manitoba,,34th Annual Town Fiesta,"Luncheons, Receptions & Events",50.00
1,Old Kildonan,Devi Sharma,23/05/2014,Hindu Society Of Manitoba,,Hindu Society Event,"Luncheons, Receptions & Events",180.00
1,Old Kildonan,Devi Sharma,23/05/2014,Mts Inc,,Internet Access,Internet Access,86.39
3,Point Douglas,Mike Pagtakhan,23/05/2014,Pilipino Express News Magazine,,Business Card Sized,Advertising,44.00
8,River Heights - Fort Garry,John Orlikow,23/05/2014,The Jewish Post & News,,Greeting,Advertising,58.00
2,Mynarski,Ross Eadie,23/05/2014,The Point Community News Inc,,Half Page,Advertising,100.00
1,Old Kildonan,Devi Sharma,23/05/2014,The Sign Source Ltd,,Seven Oaks Soccer Complex,Advertising,162.00
2,Mynarski,Ross Eadie,23/05/2014,Ukrainian Canadian Social Services Inc,,Nasha Hromada,Advertising,150.00
7,Charleswood - Tuxedo,Paula Havixbeck,23/05/2014,Winnipeg Free Press,,13 Week,Periodicals and Subscriptions,83.75
5,St. James - Brooklands,Scott Fielding,23/05/2014,Winnipeg Outdoor Marketing Group Inc,,Recycle Box,Advertising,130.00
12,St. Boniface,Daniel Vandal,23/05/2014,Winnipeg Outdoor Marketing Group Inc,,Recycle Box,Advertising,140.00
15,North Kildonan,Jeff Browaty,23/05/2014,Write It Right,,Bronx Park Cc,Advertising,200.00
0,Mayor's Office,Sam Katz,26/05/2014,Bel-Ayre Rentals Ltd,Mayor's Expenses,Civic Centre 50th,Protocol,166.40
5,St. James - Brooklands,Scott Fielding,26/05/2014,Bernita Mottola,,Meeting Schedule,Business Meetings,26.37
11,St. Vital,Brian Mayes,26/05/2014,Christa Ragoonath,,Senior Complex Ward Discussion,Ward Activities,149.75
0,Mayor's Office,Sam Katz,26/05/2014,City of Winnipeg - Journal Entry,Mayor's Expenses,"Internal Printing Recoveries - Interdepartmental, Departmental And Interfund",Protocol,122.40
0,Mayor's Office,Sam Katz,26/05/2014,City of Winnipeg - Journal Entry,Mayor's Expenses,"Internal Printing Recoveries - Interdepartmental, Departmental And Interfund",Stationery and Office Supplies,266.04
6,St. Charles,Grant Nordman,26/05/2014,City of Winnipeg - Journal Entry,,"Internal Printing Recoveries - Interdepartmental, Departmental And Interfund","Printing,Binding,Photocopying",111.88
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,26/05/2014,City of Winnipeg - Journal Entry,,"Internal Printing Recoveries - Interdepartmental, Departmental And Interfund","Printing,Binding,Photocopying",51.53
11,St. Vital,Brian Mayes,26/05/2014,City of Winnipeg - Journal Entry,,"Internal Printing Recoveries - Interdepartmental, Departmental And Interfund","Printing,Binding,Photocopying",90.18
12,St. Boniface,Daniel Vandal,26/05/2014,City of Winnipeg - Journal Entry,,"Internal Printing Recoveries - Interdepartmental, Departmental And Interfund","Printing,Binding,Photocopying",11.75
12,St. Boniface,Daniel Vandal,26/05/2014,City of Winnipeg - Journal Entry,,Kiosk 114052 - Manitoba Metis Federation - Councillor Vandal,Contrib-Donations,19.11
13,Transcona,Russ Wyatt,26/05/2014,Cosmopolitan Florists Ltd,,Book Award,Ward Activities,57.24
10,St. Norbert,Justin Swandel,26/05/2014,Justin Swandel,,Home Cable,Television Cable,54.00
10,St. Norbert,Justin Swandel,26/05/2014,Justin Swandel,,Home Internet,Internet Access,54.00
10,St. Norbert,Justin Swandel,26/05/2014,Justin Swandel,,Home Phone,Telephone,16.20
2,Mynarski,Ross Eadie,26/05/2014,Talmud Torah - Beth Jacob Synagogue,,Dinner Programme,"Luncheons, Receptions & Events",50.00
2,Mynarski,Ross Eadie,26/05/2014,Talmud Torah - Beth Jacob Synagogue,,Dinner Programme,Advertising,50.00
0,Mayor's Office,Sam Katz,27/05/2014,City of Winnipeg - Journal Entry,Mayor's Expenses,Printing Charges - Business Cards,Stationery and Office Supplies,21.83
7,Charleswood - Tuxedo,Paula Havixbeck,27/05/2014,City of Winnipeg - Journal Entry,,Sundry Deposit.,Miscellaneous Expense,-772.22
3,Point Douglas,Mike Pagtakhan,27/05/2014,Filipino Journal,,Display Advertising,Advertising,700.00
5,St. James - Brooklands,Scott Fielding,27/05/2014,Imperial Parking Canada Corporation,,Mpc Jun 1-30,Parking Space Rental,210.00
6,St. Charles,Grant Nordman,27/05/2014,Imperial Parking Canada Corporation,,Mpc Jun 1-30,Parking Space Rental,210.00
10,St. Norbert,Justin Swandel,27/05/2014,Imperial Parking Canada Corporation,,Mpc Jun 1-30,Parking Space Rental,210.00
13,Transcona,Russ Wyatt,27/05/2014,Imperial Parking Canada Corporation,,Mpc June 1-30,Parking Space Rental,175.00
13,Transcona,Russ Wyatt,27/05/2014,Mts Inc,,Wireless,Telephone,2068.25
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,27/05/2014,Riverview Community Centre Inc,,Riverview Reflector,Advertising,85.00
0,Mayor's Office,Sam Katz,27/05/2014,Sam Katz,Mayor's Expenses,Reimbursement - Cell,Telephone-Cellular,145.55
5,St. James - Brooklands,Scott Fielding,27/05/2014,Scott Fielding,,Centreport & Nasco,Business Meetings,4.21
5,St. James - Brooklands,Scott Fielding,27/05/2014,Scott Fielding,,Police Board,Business Meetings,29.97
5,St. James - Brooklands,Scott Fielding,27/05/2014,Scott Fielding,,Ward Issues,Business Meetings,79.79
4,Daniel McIntyre,Harvey Smith,27/05/2014,Spence Neighbourhood Association,,Sna Newsletter,Advertising,100.00
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,27/05/2014,West Broadway Development Corp,,Spring 2014 Issue,Advertising,105.00
10,St. Norbert,Justin Swandel,28/05/2014,City of Winnipeg - Journal Entry,,Printing Charge - Business Cards,"Printing,Binding,Photocopying",21.83
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,28/05/2014,Planners Plus Inc,,Keeping The Fires Burning,"Luncheons, Receptions & Events",125.00
0,Mayor's Office,Sam Katz,28/05/2014,Shippam & Associates Inc,Mayor's Expenses,-Gift Shop Item,Protocol,959.05
2,Mynarski,Ross Eadie,30/05/2014,Act*Nasco,,Nasco Conference -Apr 29,Conferences,111.85
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,30/05/2014,Air Can 014213143,,Staff Airfare - 2014 Fcm-Feb 24,Travel-City Business,292.88
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,30/05/2014,Air Can 014213143,,Staff Airfare (Aeroplan)-Feb 24,Travel-City Business,77.83
7,Charleswood - Tuxedo,Paula Havixbeck,30/05/2014,Apple Store #R369,,Ipad Repair -Feb 21,Office Equipment,268.92
7,Charleswood - Tuxedo,Paula Havixbeck,30/05/2014,Apple Store #R369,,Iphone Battery & Cover -Feb 12,Telephone,134.95
